City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ahipara,NZ,11/17/2022 13:35,-35.1667,173.1667,60.64,94,100,2.37,light rain
1,Atuona,PF,11/17/2022 13:35,-9.8,-139.0333,77.13,76,96,13.31,overcast clouds
2,Mataura,NZ,11/17/2022 13:35,-46.1927,168.8643,52.79,97,100,1.01,overcast clouds
3,Yellowknife,CA,11/17/2022 13:33,62.456,-114.3525,14.56,85,75,5.75,broken clouds
4,Jamestown,US,11/17/2022 13:35,42.097,-79.2353,31.71,78,100,10,light snow
5,New Norfolk,AU,11/17/2022 13:35,-42.7826,147.0587,49.5,73,9,2.51,clear sky
6,Tecate,MX,11/17/2022 13:30,32.5667,-116.6333,55.58,22,67,12.17,broken clouds
7,Spirit River,CA,11/17/2022 13:30,55.7833,-118.8361,-1.77,88,77,4.92,broken clouds
8,Umm Lajj,SA,11/17/2022 13:30,25.0213,37.2685,77.38,54,100,12.64,overcast clouds
9,Laguna,US,11/17/2022 13:37,38.421,-121.4238,53.01,93,0,0,clear sky
10,Muros,ES,11/17/2022 13:39,42.7762,-9.0603,62.1,74,98,15.88,overcast clouds
11,Ponta Do Sol,PT,11/17/2022 13:35,32.6667,-17.1,77.13,66,49,8.08,scattered clouds
12,Busselton,AU,11/17/2022 13:35,-33.65,115.3333,53.74,81,78,7.2,broken clouds
13,Kaitangata,NZ,11/17/2022 13:39,-46.2817,169.8464,52,96,100,2.37,light rain
14,Saint-Philippe,RE,11/17/2022 13:35,-21.3585,55.7679,76.59,72,53,7.25,broken clouds
15,Craigieburn,AU,11/17/2022 13:30,-37.6,144.95,49.1,87,20,0,few clouds
16,Tiksi,RU,11/17/2022 13:35,71.6872,128.8694,-14.82,99,100,5.28,overcast clouds
17,Kununurra,AU,11/17/2022 13:36,-15.7667,128.7333,82.38,78,48,2.3,scattered clouds
18,Najran,SA,11/17/2022 13:39,17.4924,44.1277,83.05,18,0,12.97,clear sky
19,Bredasdorp,ZA,11/17/2022 13:36,-34.5322,20.0403,65.23,52,100,12.59,overcast clouds
20,Mitsamiouli,KM,11/17/2022 13:31,-11.3847,43.2844,84.49,70,40,6.91,scattered clouds
21,Lasa,IT,11/17/2022 13:39,46.6166,10.7002,50.88,79,97,1.74,overcast clouds
22,Darnah,LY,11/17/2022 13:39,32.767,22.6367,76.3,29,3,18.37,clear sky
23,Ushuaia,AR,11/17/2022 13:36,-54.8,-68.3,49.66,66,75,6.91,broken clouds
24,Airai,TL,11/17/2022 13:36,-8.9266,125.4092,63.5,91,100,2.1,overcast clouds
25,Toamasina,MG,11/17/2022 13:39,-18.1667,49.3833,80.6,69,20,10.36,few clouds
26,Owando,CG,11/17/2022 13:31,-0.4819,15.8999,78.26,80,72,2.51,light rain
27,Namibe,AO,11/17/2022 13:36,-15.1961,12.1522,75.43,66,34,10.58,scattered clouds
28,Methoni,GR,11/17/2022 13:31,36.8197,21.7049,72.21,77,70,6.69,broken clouds
29,Bambous Virieux,MU,11/17/2022 13:39,-20.3428,57.7575,77.25,50,20,6.91,few clouds
30,Saint George,US,11/17/2022 13:36,37.1041,-113.5841,30.79,64,0,0,clear sky
31,Butaritari,KI,11/17/2022 13:36,3.0707,172.7902,81.12,75,100,16.24,overcast clouds
32,Lazaro Cardenas,MX,11/17/2022 13:31,17.9583,-102.2,76.37,80,97,3.11,overcast clouds
33,Acajutla,SV,11/17/2022 13:31,13.5928,-89.8275,81.21,66,4,5.57,clear sky
34,Tasiilaq,GL,11/17/2022 13:36,65.6145,-37.6368,37.56,87,100,13.04,overcast clouds
35,Hermanus,ZA,11/17/2022 13:36,-34.4187,19.2345,67.8,64,92,12.64,overcast clouds
36,Rio Gallegos,AR,11/17/2022 13:31,-51.6226,-69.2181,63.5,31,33,25.95,scattered clouds
37,Punta Arenas,CL,11/17/2022 13:36,-53.15,-70.9167,55.42,54,40,29.93,scattered clouds
38,San Patricio,US,11/17/2022 13:39,28.017,-97.5169,52.84,54,100,7.81,overcast clouds
39,Hithadhoo,MV,11/17/2022 13:36,-0.6,73.0833,81.63,72,19,12.08,few clouds
40,Monze,ZM,11/17/2022 13:31,-16.2833,27.4833,89.44,25,32,10.04,scattered clouds
41,Tawang,IN,11/17/2022 13:31,27.5833,91.8667,37.85,86,67,3.8,broken clouds
42,Rikitea,PF,11/17/2022 13:36,-23.1203,-134.9692,73.54,84,100,10.33,light rain
43,Poltavka,RU,11/17/2022 13:31,54.3663,71.7632,9.1,94,82,4.29,broken clouds
44,Saskylakh,RU,11/17/2022 13:39,71.9167,114.0833,-16.6,99,100,4.41,overcast clouds
45,Luderitz,NA,11/17/2022 13:39,-26.6481,15.1594,71.15,53,5,23.31,clear sky
46,Bowen,AU,11/17/2022 13:31,-20.0167,148.2333,76.78,75,83,10.56,broken clouds
47,Cape Town,ZA,11/17/2022 13:35,-33.9258,18.4232,71.11,57,20,21.85,few clouds
48,Noumea,NC,11/17/2022 13:35,-22.2763,166.4572,75.18,87,100,5.48,overcast clouds
49,Puerto Ayora,EC,11/17/2022 13:36,-0.7393,-90.3518,68.56,91,58,4,broken clouds
50,Lebu,CL,11/17/2022 13:36,-37.6167,-73.65,62.02,71,84,9.33,broken clouds
51,Kolokani,ML,11/17/2022 13:31,13.5728,-8.0339,92.23,12,100,15.03,overcast clouds
52,Okhotsk,RU,11/17/2022 13:39,59.3833,143.3,-3.39,79,0,14.14,clear sky
53,East London,ZA,11/17/2022 13:36,-33.0153,27.9116,67.14,77,75,13.8,broken clouds
54,Albany,US,11/17/2022 13:36,42.6001,-73.9662,35.67,93,89,10.51,overcast clouds
55,Red Bluff,US,11/17/2022 13:31,40.1785,-122.2358,41.52,70,0,8.05,clear sky
56,Hilo,US,11/17/2022 13:36,19.7297,-155.09,72.1,89,0,4.61,clear sky
57,Dingle,PH,11/17/2022 13:36,10.9995,122.6711,75.63,93,100,7.31,overcast clouds
58,Lukovetskiy,RU,11/17/2022 13:31,64.2956,41.9211,22.21,94,99,4.99,overcast clouds
59,Scarborough,GB,11/17/2022 13:31,54.2797,-0.4044,51.66,93,100,11.01,light rain
60,Tuatapere,NZ,11/17/2022 13:36,-46.1333,167.6833,53.26,97,100,3.13,overcast clouds
61,Cururupu,BR,11/17/2022 13:31,-1.8283,-44.8683,83.5,65,100,4.38,overcast clouds
62,Port Elizabeth,ZA,11/17/2022 13:36,-33.918,25.5701,70.32,70,0,12.66,clear sky
63,Bichena,ET,11/17/2022 13:31,10.45,38.2,65.89,33,14,4.32,few clouds
64,Dikson,RU,11/17/2022 13:36,73.5069,80.5464,3.69,94,100,25.81,light snow
65,Bundaberg,AU,11/17/2022 13:31,-24.85,152.35,64.22,78,0,1.01,clear sky
66,Otaki,NZ,11/17/2022 13:31,-40.7583,175.15,58.95,93,88,5.17,overcast clouds
67,Pyshchug,RU,11/17/2022 13:31,58.8873,45.7134,18.46,71,10,7.81,clear sky
68,Castro,BR,11/17/2022 13:36,-24.7911,-50.0119,71.08,42,0,6.78,clear sky
69,Jalu,LY,11/17/2022 13:31,29.0331,21.5482,79.72,16,0,11.48,clear sky
70,Pisco,PE,11/17/2022 13:39,-13.7,-76.2167,65.01,82,74,2.3,broken clouds
71,Haines Junction,CA,11/17/2022 13:36,60.7522,-137.5108,12.15,85,100,2.3,overcast clouds
72,Dukat,RU,11/17/2022 13:31,62.55,155.55,-22.54,97,98,2.1,overcast clouds
73,Tarauaca,BR,11/17/2022 13:31,-8.1614,-70.7656,85.48,63,100,2.8,overcast clouds
74,Arraial Do Cabo,BR,11/17/2022 13:36,-22.9661,-42.0278,78.76,61,40,11.5,scattered clouds
75,Hobart,AU,11/17/2022 13:35,-42.8794,147.3294,49.86,89,14,0,few clouds
76,Swift Current,CA,11/17/2022 13:31,50.2834,-107.8014,9.41,85,75,19.57,broken clouds
77,Kapaa,US,11/17/2022 13:36,22.0752,-159.319,73.72,83,20,12.66,few clouds
78,Geraldton,AU,11/17/2022 13:36,-28.7667,114.6,63.01,67,100,13.8,overcast clouds
79,Thompson,CA,11/17/2022 13:39,55.7435,-97.8558,3.36,78,75,10.36,broken clouds
80,Yongan,CN,11/17/2022 13:31,39.6957,113.6871,41.94,47,38,5.5,scattered clouds
81,Fortuna,US,11/17/2022 13:39,40.5982,-124.1573,39.54,100,0,6.91,clear sky
82,Sitka,US,11/17/2022 13:39,57.0531,-135.33,40.89,75,0,8.05,clear sky
83,Fairbanks,US,11/17/2022 13:31,64.8378,-147.7164,10.6,85,0,0,clear sky
84,Mar Del Plata,AR,11/17/2022 13:36,-38.0023,-57.5575,71.83,76,0,12.66,clear sky
85,Cidreira,BR,11/17/2022 13:36,-30.1811,-50.2056,73.8,53,29,6.67,scattered clouds
86,Krasnoselkup,RU,11/17/2022 13:39,65.7,82.4667,2.44,96,100,17.2,light snow
87,Aranos,NA,11/17/2022 13:30,-24.1333,19.1167,95.67,11,12,6.08,few clouds
88,Kangavar,IR,11/17/2022 13:31,34.5043,47.9653,53.15,63,100,7.23,light rain
89,Ketou,BJ,11/17/2022 13:31,7.3633,2.5998,95.07,30,13,1.5,few clouds
90,Matara,LK,11/17/2022 13:30,5.9485,80.5353,77.67,83,100,3.83,overcast clouds
91,Kuytun,RU,11/17/2022 13:39,54.3419,101.5036,24.39,57,100,16.28,overcast clouds
92,Port Alfred,ZA,11/17/2022 13:36,-33.5906,26.891,67.17,84,100,5.99,overcast clouds
93,Lorengau,PG,11/17/2022 13:36,-2.0226,147.2712,81.12,70,100,5.79,overcast clouds
94,Ribeira Grande,PT,11/17/2022 13:39,38.5167,-28.7,64.8,59,40,12.66,scattered clouds
95,Tuktoyaktuk,CA,11/17/2022 13:36,69.4541,-133.0374,17.15,72,19,12.08,few clouds
96,Yumbe,UG,11/17/2022 13:31,3.4651,31.2469,76.21,76,70,3.47,light rain
97,Yazman,PK,11/17/2022 13:31,29.1212,71.7446,74.3,25,0,7.18,clear sky
98,Vaini,TO,11/17/2022 13:36,-21.2,-175.2,71.76,94,20,3.44,few clouds
99,Souillac,MU,11/17/2022 13:39,-20.5167,57.5167,77.38,50,20,6.91,few clouds
100,Bure,ET,11/17/2022 13:31,10.7,37.0667,65.55,67,75,4.65,broken clouds
101,Upernavik,GL,11/17/2022 13:36,72.7868,-56.1549,9.63,84,100,11.32,overcast clouds
102,Lavrentiya,RU,11/17/2022 13:36,65.5833,-171,35.35,97,100,25.3,light rain
103,Villa Sandino,NI,11/17/2022 13:31,12.0483,-84.9936,74.57,87,42,12.86,scattered clouds
104,Deolali,IN,11/17/2022 13:31,19.95,73.8333,70.32,39,0,6.51,clear sky
105,Constitucion,CL,11/17/2022 13:39,-35.3333,-72.4167,66.61,65,3,10.18,clear sky
106,Qaanaaq,GL,11/17/2022 13:36,77.484,-69.3632,-15.75,76,18,8.14,few clouds
107,Oranjemund,NA,11/17/2022 13:39,-28.55,16.4333,66.7,60,11,19.15,few clouds
108,Gananoque,CA,11/17/2022 13:31,44.3334,-76.1661,31.96,80,100,6.64,overcast clouds
109,Ruteng,ID,11/17/2022 13:31,-8.6136,120.4721,65.17,94,93,1.81,overcast clouds
